text,label,prediction,probability_positive,correct
"When I first saw the ad for this, I was like 'Oh here we go. He's done High School Musical, but he can't coast along on that so now he's making appearances on other Disney shows'. Personally, I love The Suite Life and I'm a big fan of Ashely Tisdale. But for some reason, I'm not too keen on Zac Efron, although all my friends think he's the best thing since Jesse McCartney. But he really annoys me. Anyway, I watched the show (taking a break from English coursework) and was pleasantly surprised. The performances were good all round, especially from the regular characters on The Suite Life, and Zac Efron wasn't as bad as I had anticipated. All in all, a pretty good show.",1,1,0.5990174,1
"I suppose for 1961 this film was supposed to be "" cool "" , but looking back now ( 45 years ) it's charm was just as silly as it's entertainment value ! Granted , the special effects do well on T.V. with the Series that started in 1964 , but for the BIG screen ?? I once had a fish tank that was equally as exciting ! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged...or trained ! Overall , it's pretty bad acting with shoddy special effects and I still do recommend it - for fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it . Barabara Eden went on to play "" Genie "" on T.V. Micheal Ansara was her Husband . Now that is a cool part about this film ! I always enjoyed seeing real life Husband and Wife teams star in the same movie . Neat !",0,0,0.41385308,1
"This is a poor film. It certainly belongs in the how not to make a feature film category. Story, direction, acting and style are all flat as a pancake. Story consists of five  yes five  football matches spread out over the film's duration, each one more boringly filmed than the last, as a dysfunctional amateur football team go from strength to strength. That's it, that's the plot. It's hard to know who this film is aimed at. It's too banal for football fans and there's nothing in it for teens nor grown-ups. There's nothing in it for women either, there isn't even a single female character. It's dreariness wears you down as the team play game after game after game after game after game. The story, such as it is, dialogue and mannerisms seem lifted from a bygone Ireland, with all the actors spouting cod theatrical Dublin accents. It doesn't have to be seen to be believed. Avoid at all costs. Can someone give me back my 90 minutes. High point the credits at the end, low point too numerous to mention. Brendan Gleeson is in this film.",0,0,0.009875676,1
"This meandering tale of mob revenge is simply not very interesting, even with Ed McMahon in a ripe role as the chief heavy. Jim Brown kicks ass effectively, Gloria Hendry proves again that she can bring life to even the poorest roles, and Brock Peters is decent as The Cop Who Plays By the Book. It's still dull and badly constructed, and even the print shown on cable is now emasculated of its original James Brown score.",0,0,0.03144089,1
"As spectacle, it's hard to fault Nihon chinbotsu. The Japanese people have benefited from their intimate relationship with the sea, and the concept of the film implies that an entire world and way of life at risk - thanks to its volcanic heritage. From the standpoint of reality it's rather silly to have a drama wherein the entirety of Japan vanishes under the waves; why just Japan? <br /><br />So, presume instead that we have movie reality, fueled by spectacle (and popcorn), and some may find this quite affecting. Compared to adventures with Japanese radioactive monsters, this comes off as more mature and better paced. The emotional element is underplayed, and it really works. (It loses a bit with the overblown theme song at the climax, however.)<br /><br />Is Nihon chinbotsu credible? Probably not, but the thrilling eruptions, and the relaxed pacing make for a more pleasing entertainment that one night expect.",1,0,0.18061376,0
"4 Oscar winners, Karl Malden, Sally Field, Shirley Jones, Michael Caine. Great character actors Telly Savalas and Peter Boyle. 1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?<br /><br />Irwin Allen was just trying to cash in on the popularity of the original classic disaster film with a grade D minus script, the actors were obviously just in it for the paycheck as well,... the horror, the horror!<br /><br />How insane are the characters that Caine, Savalas, Malden and Field are playing? Go into a potentially deadly sinking ship that's 1. on fire 2. Hot from steam 3. Slippery from water and oil, 4. boilers that are exploding every 5 minutes, etc., all for the love of money? Greed? 5. They have very little equipment, not even a pair of gloves or work boots in sight, much less a grappling hook, rope, etc.<br /><br />Stupidity!<br /><br />What were they thinking?<br /><br />Peter Boyle overacts so much that I just wanted to smack him! Stop it! And what's the deal with the bad toupee? Also, there is no way you can believe his character was a WW2 veteran.<br /><br />Caine, Field and Malden find all that gold and money and they are happy--whoopee! We're rich! (We may not live to spend it, but hey...)<br /><br />And yee haw, it's the great character actor Slim Pickens!<br /><br />Survivors galore! Jack Warden and Shirley Knight, too!<br /><br />The final dramatic sub plot about that scary plutonium never really went anywhere, it's like they forgot, sort of? Lots of holes in the script.<br /><br />This film has an illness that the strongest pill couldn't cure. I'm surprised Alan J. Smithee's name wasn't on the script, I'd be embarrassed to have penned this one!<br /><br />Oh the insanity, Oh The humanity! Oy Vey!<br /><br />The Horror, The Horror!<br /><br />It's like a bad two hour TV movie.<br /><br />At least the sets were made from recycled material from the first movie.<br /><br />The script needed to be on the compost heap...",0,0,0.16574968,1
"Horror films are a curious thing, sometimes they manage to stumble across a formula that works very well, sometimes they try valiantly to tell a worthy story despite time and budget problems, sometimes they're so bad they're actually kinda fun...and sometimes they're ""The Cavern"".<br /><br />A good horror/suspense film should contain vagaries that keep you guessing, they should allow you to be interested in the characters and their motivations so that you actually have some sort of reaction when they die. However, The Cavern chooses instead to introduce elements that work at first, only to be negated by it's own lackluster storytelling.<br /><br />All the characters are completely forgettable and any actual back story that might make any of them even remotely interesting is blurted out within a 30 second monologue, making it impossible to do anything more than laugh as characters are picked off almost at random and on more than one occasion in the least possibly frightening way.<br /><br />(To spoil a scene a bit, one victim is taken during a complete blackout which might have been a little frightening if the sound effect used to indicate his killing wasn't reminiscent of stirring a pot of too thick Macaroni and Cheese) Add to this formula the camera that work makes me think the director saw one too many Nine Inch Nails videos and an ending which in an attempt to be shocking serves almost no purpose but to annoy and confuse the viewer and you have an almost completely unwatchable horror film that fails on every level.<br /><br />I'll be honest with you, if you want a claustrophobic caving horror movie go watch ""The Descent"", and I feel weird saying that because I didn't particularly enjoy that movie either.",0,0,0.22066422,1
"After ""Attack of the Fifty Foot Woman"" with Alison Hayes opened the doors for women to be just as dangerous as men, there was obviously an open market for other movies to pick up and carry the torch and what more a lovely actress than Dorothy Provine from ""It's A Mad, Mad, Mad, Mad World"" to play the role. The downsize is that cute and blonde Provine may just be too sweet and innocent looking to step into Allison Hayes' size 50 shoes. This role really needed someone with an amount of smoldering sex appeal; Provine is more the girl next door type. She may have taken and done this role to prove she could be sexy, but the material lets her down. Lou Costello, however, proves he can do a movie without Bud Abbott feeding him lines and he even interjects a dramatic role in some of his scenes when he not turning to Gale Gordon as his front man for gags. Gordon, however, establishes that all he can be is blustery, perturbed and pushy, much the same character he creates later on ""The Lucy Show."" Charles Lane also plays the same role in everything he does: a straight man, and his screen time is limited. The special effects are convincing for the time, but I would have liked Dorothy to have been a little more than cheesecake and dressing and at least have been allowed to become dangerous. As the movie's lead character, she takes second billing to Costello who is in all of the movie with Dorothy several times vanishing like a sub-plot. The whole movie put together just can't decide if it's supposed to be science fiction, a comedy or just a parody of the Allison Hayes classic. There's a lot of good scenes, some very funny humor and some very ridiculous camp that affects the rest of the film. Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one. If this movie had a chance to be remade today, I'd highly recommend Courtney Cox and Jason Alexander in the lead roles and allow me to completely re-write the original script. Courtney tops my lists of actresses who I believe could and should adequately play gorgeous giantesses; although, I have to admit that if either of the titanic beauties Allison or Dorothy came after me, I'd go quietly !!",1,0,0.2842473,0
"Best fan boy movie I've ever watched save ""Free Enterprise.""<br /><br />In some ways it reminded me of an early Kevin Smith film.<br /><br />If you do any kind of role playing, this movie will likely have you laughing often at its insatiable fun. Don't expect a big budget here, the acting is also questionable at times, but it really adds to the fun of the atmosphere they create. The script is truly humorous with a lot of witty moments worth experiencing.<br /><br />The bard that always gets killed had me rolling. The sexually confused player also had me smiling a bit too. But in the end... It was just a great movie showcasing some better moments in the lives of a few geeks having a great time with role playing.<br /><br />If you are bored, and ever got into role playing, this will do nicely for a distraction. A real unexpected treat.",1,1,0.9722173,1
"Set in 1962 Hong Kong (in turbulent times, as we are informed), this extremely intimate story of a failed romance between a two married people tied to their traditions manages to recall the essence of old Hollywood in scene after scene of lush colors, evocative yet restrained sensuality (as opposed of the requisite sexuality and occasional nude scenes which has become part of the norm of a romance in film), and the use of facial expressions to suggest subtle changes in mood or communication. It's not hard to see the influence of Marguerite Duras here, since she is known for minimalism in storytelling as well as describing powerful drama using the art of verbal and non-verbal conversation between two characters with a strong bond as well as the use of re-enacting scenes that could eventually take place in both the characters' lives. From Hiroshima MON AMOUR to MODERATO CANTABILE, her pen is strongly visible here from the moment we enter the cramped rooms of Mr. Chow (Tony Leung) and Mrs. Su Li-zhen (Maggie Cheung) to the last scenes which explain the intensity of regret that he feels as he recalls the opportunity which was lost in reaffirming this relationship.<br /><br />The plot even resembles something that Duras could have written: Mr. Chow and Mrs. Su Li-zhen, neighbors in a tenement apartment while both being fairly successful professionals, begin to discover in the most banal of ways that their spouses are cheating on them, and they discover quite naturally, it's with each other. The question is, should they act upon what they also feel towards each other or not be like their partners? Every scene plays with the notion that at any moment they will give in to each other, and at one point, it is suggested that eventually they do though as intrusive as the camera is in detailing to us their encounters (which seem to occur on a daily basis as seen by the frequent changes of Cheung's dresses), we never see it. And just as not seeing either of their spouses heightens their own love story, not seeing them carry through with their attraction makes the eventual separation even the more bitter because at every moment we want for something to happen -- some catalyst -- and the only one which comes is when Leung reveals to her that he loves her, followed by his quietly brutal revelation that she will never leave her husband, which implies that neither will he. It also gives us a glimpse of what culture and timing can do: from a Western point of view, a consummation of their romance into a more solid, lasting affair would have been possible especially in the 60s, but as it's Hong Kong, cultural values are markedly different.<br /><br />Performances here are of the high order: it's very easy to play a torrid love affair, but to continually play a repressed, platonic relationship that is brimming with desire only barely suggested is hard and makes all the sensuality more cerebral than palpable or visual. Cheung and Leung smolder and their blighted chemistry lingers long after the credits have rolled.",1,0,0.19393136,0
